test,true,within,across,pass
1_heldout_median_drop,0.008144448356450354,0.011755530173052024,0.013291891317356625,False
2_cn2_median_drop,0.0012926335194167991,0.0012919466903071192,0.00041132310453287184,True
3_effect_size_median_drop,0.14129651272342678,0.20841509395731797,0.2359098654112472,False
4_unstable_dir_frac,0.5491661874640598,0.5957446808510638,0.5991949396204715,False
