cell_line,post_diff_mean,post_prob_gt0,rate_true_eb,rate_rot_eb,n_genes_true,breakpoints,FGA
ACH-000839,0.0053437478690628,0.864,0.0071986830823602,0.0021000103839566,150,2044,0.96034177753874
ACH-000620,0.004889369787624,0.845,0.0071986830823602,0.0021000103839566,150,1362,0.997740980596294
ACH-000810,0.0017999549403413,0.7,0.0037485418157616,0.0021000103839566,150,1832,0.9993234948376024
ACH-000231,0.0017958351558454,0.691,0.0037485418157616,0.0021000103839566,150,628,0.998897313736177
ACH-003191,0.0017831957567272,0.691,0.0037485418157616,0.0021000103839566,150,1820,0.9683741964806384
ACH-000792,0.0017753865668233,0.708,0.0037485418157616,0.0021000103839566,150,2296,0.9662166736031284
ACH-000521,0.0017687880229197,0.707,0.0037485418157616,0.0021000103839566,150,1070,0.947647315366354
ACH-000800,0.0017350625315727,0.693,0.0037485418157616,0.0021000103839566,150,1600,0.978813112229772
ACH-002080,0.0017105237421199,0.692,0.0037485418157616,0.0021000103839566,150,708,0.9997497142272446
ACH-001745,0.0016960599634568,0.613,0.0071986830823602,0.0056652382273421,150,1628,0.9884767536743972
