cell_line,k_dir_true,n_genes_true,k_dir_rot,n_genes_rot,rate_true_raw,rate_rot_raw,rate_true_eb,rate_rot_eb,post_diff_mean,post_diff_lo,post_diff_hi,post_prob_gt0,split_half_rho,n_reps
ACH-000047,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017786520124763996,-0.009453192311950593,0.0019578912403729197,0.118,,
ACH-000048,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0019361713168105884,-0.010433411617524122,0.0018635235305327778,0.1,,
ACH-000052,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001821101021242938,-0.009989956387653532,0.001694815019122131,0.125,,
ACH-000053,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001815155894168851,-0.009760832278589364,0.0019293269719518565,0.108,,
ACH-000054,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017743541820798027,-0.00945580417703522,0.0018418084347479546,0.113,,
ACH-000060,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018593955142201448,-0.009284647207586563,0.002083848580576594,0.114,,
ACH-000070,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018749378638015335,-0.009747038230137077,0.0016769889720919626,0.096,,
ACH-000074,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001747044180728456,-0.009114310015200924,0.0016921983472566041,0.109,,
ACH-000075,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018115128540976899,-0.009307025598329164,0.002251488262565319,0.124,,
ACH-000076,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.009060411088775727,-0.02230293468363558,-0.001445055015421006,0.005,,
ACH-000077,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001670589521669924,-0.007721862902810776,0.0016365522562012584,0.11,,
ACH-000078,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005304257962180901,-0.01710150695625895,-2.7759009700516293e-05,0.025,,
ACH-000082,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005424179419276525,-0.017963292127167876,-5.047022915208068e-05,0.023,,
ACH-000085,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0019262651927425248,-0.009886417424641296,0.0018274421120265895,0.118,,
ACH-000086,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018862909774882322,-0.01066272547174629,0.002505131803025171,0.125,,
