n_genes,rho_true,rho_rotate
120,-0.22498515516756434,-0.007913771490282277
120,-0.20740748457352795,-0.005177460856520788
120,-0.17664666499986106,-0.03548212351029252
120,-0.1602008500708392,-0.004972636608606272
120,-0.19742617440342247,-0.036905853265549904
120,-0.14407450620885073,-0.05551157040864516
120,-0.1604230908131233,-0.029433008306247746
120,-0.17765531514450708,-0.04487479989860372
120,-0.16552768286246072,-0.044239797760924515
120,-0.1824665944384254,-0.10143900880628941
120,-0.18073033863933105,-0.03336389143539739
120,-0.12012806622774118,0.06664444259243825
120,-0.15470039169930824,0.016327749534683446
120,-0.14242853571130926,-0.0619704419812762
120,-0.2173722810234186,-0.08092341028419034
120,-0.16834908100937918,-0.017831161299955902
120,-0.16716670833680583,-0.0015973553351668194
120,-0.16882656888074005,-0.014570658665999941
120,-0.12360752284912631,-0.006375531294274522
120,-0.14603300275022918,-0.022863016362474647
120,-0.20012917608575626,-0.006330322697141111
120,-0.1946496098673862,-0.029838981314609745
120,-0.2634941800705614,-0.0025349334666777785
120,-0.2130634071810542,0.0772275852489756
120,-0.1540683945884379,0.027905103203044696
120,-0.20740617273661693,-0.03969080756729727
120,-0.1722365752701614,-0.048010945356557484
120,-0.23369412352984076,0.007809597227575622
120,-0.17153512792732725,-0.017890379753868375
120,-0.21347315785818455,-0.007194944093339815
120,-0.11797735251528758,-0.034144850839818185
120,-0.27780150635983875,-0.06597356057212506
120,-0.16697919271050363,0.04212851070922576
120,-0.21144250101569909,-0.024658047982665403
120,-0.2412155052972613,0.03311005316359874
120,-0.18602244631497067,-0.0346556657499236
120,-0.0638692404654506,0.016067143784789864
120,-0.19207156151901547,0.0762494096730283
120,-0.17350223453793506,0.04554151517992632
120,-0.21258147295462515,0.06850846763132035
120,-0.18413495428486107,0.009059688380055492
120,-0.16685418229296883,-0.030398366530544212
120,-0.18153059771719465,-0.04345108497494609
120,-0.19343973108870183,0.07538128177348112
120,-0.21894304793057828,0.020567471933717392
120,-0.15099869433563906,0.01850848681834597
120,-0.16235380726171622,-0.05751173708920186
120,-0.18832124899297162,-0.030051115370725332
120,-0.21890832317634273,-0.02319960830477222
120,-0.20351136714829904,-0.028456936096034783
120,-0.12001000083340278,-0.0062088507375614626
120,-0.15341049173724475,-0.014108667645904736
120,-0.13061716305702847,-0.021199462460804435
120,-0.0785968275134039,-0.026849459677195316
120,-0.18767536183570852,0.02332138789343556
120,-0.23598595730938718,-0.004601029936210626
120,-0.11437758702114065,0.007014473428341251
120,-0.18460026599161747,0.04200653519874713
120,-0.16715976331360946,-0.027773147762313523
120,-0.2007083825265643,0.05775401069518715
120,-0.21249118859361274,0.00904579847836127
120,-0.19931522071283714,0.03926021612912187
120,-0.20728247545827994,0.00814989981908403
120,-0.2010306414423424,-0.05511570408645164
120,-0.19454398977692583,0.012112120454482317
120,-0.09521874858930686,0.012198806162949383
120,-0.2500416701391782,-0.02888435147373392
120,-0.23711003694752336,0.0257452009889713
120,-0.17394505097647026,-0.050538933800038884
120,-0.18592675160341554,-0.017726987037249245
120,-0.2722379642748006,-0.08395144039781091
120,-0.1496235797427563,0.03270411423174153
120,-0.2980595605189321,0.01878628774620107
120,-0.17116704169791924,-0.05619912770508653
120,-0.21006611662082947,-0.035197377559241044
120,-0.20437814262299633,0.03621829596910853
120,-0.1941203433619468,-0.04758035391838208
120,-0.13663638636553044,-0.03879489957496458
120,-0.24669507151563136,0.04008972876494466
120,-0.2105952170123516,0.010608412418961105
