label,n_genes,median_abs_prox_coef,p90_abs_prox_coef,p99_abs_prox_coef
true,18435,0.0186356316466923,0.054794310742966985,0.16352544430607296
shuffle_within,18435,0.0142324944975145,0.04045170822243687,0.11107519373935028
shuffle_across,18435,0.0158114111849838,0.04402611796628063,0.12002074276268868
