cell_line,psi_A,psi_B,sh_correlation
ACH-000022,36.92140088672764,-1.3504749525482456,-0.3323972275417372
ACH-000025,3.4334716028899797,26.26534204391636,-0.3323972275417372
ACH-000053,16.554179702238446,1.4911158435184122,-0.3323972275417372
ACH-000074,-18.410426827891072,-19.28760815179675,-0.3323972275417372
ACH-000087,-22.237810943564384,-30.280782693045946,-0.3323972275417372
ACH-000097,0.5761016821061673,-1.9904492027241998,-0.3323972275417372
ACH-000147,-16.1906529863077,-2.625636928857422,-0.3323972275417372
ACH-000168,-62.084988004829576,19.52945896259922,-0.3323972275417372
ACH-000183,2.7248292703343737,-22.215383357675737,-0.3323972275417372
ACH-000233,10.878467455925081,0.0,-0.3323972275417372
ACH-000292,23.318283172144177,-18.92027999221421,-0.3323972275417372
ACH-000502,-18.220801268136857,-26.074486375868446,-0.3323972275417372
ACH-000527,-23.16118017794181,1.6148523100914645,-0.3323972275417372
ACH-000583,8.010909755680863,-0.8136013849807231,-0.3323972275417372
ACH-000696,-10.987449942928142,5.076278159390021,-0.3323972275417372
ACH-000804,-48.02889679970903,80.32315061460395,-0.3323972275417372
ACH-000900,-2.3737156906359185,15.43974648104687,-0.3323972275417372
ACH-001401,0.0,32.480383266714526,-0.3323972275417372
ACH-001509,-0.7049344322848273,-3.02101346104077,-0.3323972275417372
ACH-001619,-29.898531630958566,-1.5990782436908475,-0.3323972275417372
