gene,abs_near_true,abs_max_true,near_excess_W,near_excess_A,max_excess_W,max_excess_A,delta_abs_corr_true,deltacorr_excess_W,deltacorr_excess_A,score
GABARAPL2,0.001527849844809,0.0054467407744316,-0.0142796840101153,-0.0030494244036089998,-0.0103607930804927,0.0008694665260136,-0.014329235247948,-0.0055971159403414,0.0021637566064711,28885.0
C9orf153,0.0004356197656457,0.0032884473670622,-0.0029302207218127,-0.0004976152403298,-0.0027635407475455004,0.0023552123610867002,-0.011115504184065,-0.0067383390056042,9.280809609620022e-05,28870.0
HLA-DQB1,0.0204705903716845,0.0579399677615691,0.0006721946919051001,-0.014603094828633499,0.0302963330972149,0.021807721052324203,-0.0319115112965229,0.0009437345253629006,-0.0203267053874738,28797.0
TUBGCP4,0.0002105476132231,0.0136523331819435,-0.0101118106913687,-0.0260120383400875,0.0033299748773516994,-0.012570252771367101,-0.019835926005488,0.004652543079003601,-0.008731502122327199,28764.0
HPCA,0.0025494998648113,0.0093731947819279,-0.0006315397329856999,-0.0066846517653208004,0.003092026119753501,0.00013904315179580004,-0.0197195943205008,0.0015865317022524007,-0.0166486616870552,28757.0
FEN1,0.0138964288605395,0.0377139292215044,-0.0030045785970904994,-0.011299072964584399,0.0208129217638744,0.0125184273963805,-0.0057762500367887,0.0008449489559496006,-0.002025581818329,28734.0
TMEM132D,0.002752772431341,0.025128298227997,0.0011360302814936,0.0013347486272346,0.018574029225716798,0.0236478236795892,-0.0331225619687908,0.00013303395963010223,-0.0088584488634866,28734.0
GIMD1,0.0,0.048802247922753,-0.0186699964195671,-0.020603249441846,0.030132251503185898,0.028198998480906998,-0.0286931386942858,0.005841993269845604,0.005040385162275302,28724.0
GALNT8,0.0006319601932361,0.0062494404036311,-0.010369327502481,-0.0010433027947012999,-0.004751847292086,0.0045741774156937,-0.0158578968472853,-0.005846390570966701,0.0016027696025993979,28724.0
DCAF15,0.0032304988898878,0.016692089287366,-0.0120707980316896,-0.0023302472593458006,0.0013907923657885991,0.0074555295377605,-0.0039252881527198,-0.0024426133077725,6.731611090369984e-05,28705.0
